"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
0,0.05628689430024837,80,40,14.734399914254238,0.3,9.36625e-4,0.00127,0.18,81.32174986207653,0,0.022,0.16,1,16.264349972415307,0.048415625,80,1000,67.86839001380625,54.053114491384356,0.0010077831286094672,0.75,0.7,0,60,9.81,0,0,5,188.5,188.49555921538757,2,850,850,0.1,0.9734741761513508,0.026525198938992044,9999,0.4513262599469496
0.1,0.24678620263827386,80,40,14.734381065366707,0.3,9.36625e-4,0.00127,0.18,175.3972148433823,0,0.022,0.16,1,16.7531275148708,0.15501187802088864,80,1000,67.8684768341243,55.32705212283304,0.004289646347980212,0.75,0.7,0,60,9.81,0,0,10.469520672345634,188.5,188.49555921538757,2,850,850,0.1,0.9444574677731137,0.055541223725971534,9999,0.4527770611862985
0.2,0.5809526841212151,80,40,14.734360458549315,0.3,9.36625e-4,0.00127,0.18,277.63900936973977,0,0.022,0.16,1,17.283979550857122,0.321996039977671,80,1000,67.86857175193988,56.53994503626485,0.009787990214018164,0.75,0.7,0,60,9.81,0,0,16.06337293751146,188.5,188.49555921538757,2,850,850,0.1,0.9147811598088823,0.0852168325597425,9999,0.4542608416279871
0.3,1.0675955826347163,80,40,14.734337878702902,0.3,9.36625e-4,0.00127,0.18,388.9438205322723,0,0.022,0.16,1,17.861467215037525,0.5530029191328064,80,1000,67.86867575810147,57.69488098634907,0.017405485632565377,0.75,0.7,0,60,9.81,0,0,21.77558068716894,188.5,188.49555921538757,2,850,850,0.1,0.8844769564980217,0.11552032194784584,9999,0.45577601609739227
0.4,1.7151623879388975,80,40,14.734313070437722,0.3,9.36625e-4,0.00127,0.18,510.36102717748963,0,0.022,0.16,1,18.490919997719633,0.85151913939127,80,1000,67.8687900290619,58.79800286109454,0.02701115981751302,0.75,0.7,0,60,9.81,0,0,27.600629240753257,188.5,188.49555921538757,2,850,850,0.1,0.8535741141295805,0.1464224362904682,9999,0.4573211218145234
0.5,2.5318186480560296,80,40,14.734285726968768,0.3,9.36625e-4,0.00127,0.18,643.1323074249077,0,0.022,0.16,1,19.178633876919353,1.2209179728304245,80,1000,67.86891597803475,59.85905301362976,0.03844248322768947,0.75,0.7,0,60,9.81,0,0,33.53379138223653,188.5,188.49555921538757,2,850,850,0.1,0.8220977113634885,0.17789809751849617,9999,0.45889490487592477
0.6,3.5255973282652553,80,40,14.734255474954937,0.3,9.36625e-4,0.00127,0.18,788.744952564312,0,0.022,0.16,1,19.932137655101133,1.6645234291251791,80,1000,67.86905532483706,60.89204741991985,0.05150807723929934,0.75,0.7,0,60,9.81,0,0,39.57151842980838,188.5,188.49555921538757,2,850,850,0.1,0.7900665745414653,0.20992847973373144,9999,0.46049642398668655
0.7,4.704635970991356,80,40,14.734221853445447,0.3,9.36625e-4,0.00127,0.18,949.0046859322241,0,0.022,0.16,1,20.76055614336131,2.1857112669290553,80,1000,67.86921019287898,61.91614958810752,0.06599082367418285,0.75,0.7,0,60,9.81,0,0,45.7119105759453,188.5,188.49555921538757,2,850,850,0.1,0.7574907824554539,0.2425035043816727,9999,0.4621251752190836
0.8,6.077528256590357,80,40,14.73418428400586,0.3,9.36625e-4,0.00127,0.18,1126.137105609582,0,0.022,0.16,1,21.67511518560954,2.788058158979067,80,1000,67.86938324678839,62.95685675543491,0.08165110760254268,0.75,0.7,0,60,9.81,0,0,51.95529970503884,188.5,188.49555921538757,2,850,850,0.1,0.7243685744040725,0.27562493212222194,9999,0.46378124660611103
0.9,7.65382143377926,80,40,14.734142027513482,0.3,9.36625e-4,0.00127,0.18,1322.931094226219,0,0.022,0.16,1,22.68985394430886,3.475552193531184,80,1000,67.8695778914491,64.04767250259226,0.0982297713557426,0.75,0.7,0,60,9.81,0,0,58.304962979192766,188.5,188.49555921538757,2,850,850,0.1,0.6906825645023836,0.30931014843073085,9999,0.4654655074215365
1,9.444699897203106,80,40,14.734094120301458,0.3,9.36625e-4,0.00127,0.18,1542.9449661726978,0,0.022,0.16,1,23.82264578941144,4.252881598992534,80,1000,67.8697985661802,65.23254730139635,0.11545019669826118,0.75,0.7,0,60,9.81,0,0,64.76799343834838,188.5,188.49555921538757,2,850,850,0.1,0.6563951230047804,0.3435967821663044,9999,0.4671798391083152
1.1,11.463967797654199,80,40,14.734039275766719,0.3,9.36625e-4,0.00127,0.18,1790.8157548374033,0,0.022,0.16,1,25.096725856572665,5.1258497609039555,80,1000,67.87005119802511,66.56958698556237,0.13301922048728632,0.75,0.7,0,60,9.81,0,0,71.35654925952824,188.5,188.49555921538757,2,850,850,0.1,0.6214417487788585,0.3785493329417944,9999,0.4689274666470897
1.2,13.729458208819555,80,40,14.733975728179908,0.3,9.36625e-4,0.00127,0.18,2072.733590827351,0,0.022,0.16,1,26.54302553566807,6.101970049875844,80,1000,67.87034392132328,68.13685161930742,0.15062584014950597,0.75,0.7,0,60,9.81,0,0,78.08957528379898,188.5,188.49555921538757,2,850,850,0.1,0.5857219363212232,0.41426830389283276,9999,0.4707134151946416
1.3,16.265065114720876,80,40,14.733900975413782,0.3,9.36625e-4,0.00127,0.18,2397.190158411352,0,0.022,0.16,1,28.203838675703352,7.191322990214022,80,1000,67.87068826298504,70.0417189516311,0.1679361111357058,0.75,0.7,0,60,9.81,0,0,84.9951733866798,188.5,188.49555921538757,2,850,850,0.1,0.5490866005519066,0.4509027765871607,9999,0.472545138829358
1.4,19.103851595355035,80,40,14.733811331262768,0.3,9.36625e-4,0.00127,0.18,2776.2190350829374,0,0.022,0.16,1,30.1388653837957,8.407867527075435,80,1000,67.87110120503318,72.43665952240089,0.18458250888986644,0.75,0.7,0,60,9.81,0,0,92.11425180509895,188.5,188.49555921538757,2,850,850,0.1,0.5113187165335653,0.4886697708493313,9999,0.47443348854246653
1.5,22.2930207187914,80,40,14.733701097537075,0.3,9.36625e-4,0.00127,0.18,3227.554385134035,0,0.022,0.16,1,32.435660652325716,9.771538094684255,80,1000,67.87160899898822,75.54707519213821,0.2001440479672265,0.75,0.7,0,60,9.81,0,0,99.5063556660626,188.5,188.49555921538757,2,850,850,0.1,0.47210238755619693,0.5278851759472817,9999,0.476394258797364
