"time","H_pump"
0,0.05628689430024837
0.04,0.11577239610659618
0.08,0.19728116880290736
0.12,0.3013330222808115
0.16,0.42841808489123656
0.2,0.5789959368281825
0.24,0.7534948476140074
0.28,0.9523116048575374
0.32,1.175811037786882
0.36,1.42432611720047
0.4,1.6981593424617842
0.44,1.9975817054152198
0.48,2.3228349427213817
0.52,2.6741334374583765
0.56,3.051664626508982
0.6,3.455593595427517
0.64,3.8860633098659854
0.68,4.343198575360767
0.72,4.827109054361515
0.76,5.337893227562686
0.8,5.875642338098432
0.84,6.440444191832352
0.88,7.032389519596327
0.92,7.651577477597808
0.96,8.298121703877047
1,8.972155850431223
1.04,9.673843257170457
1.08,10.403383167602415
1.12,11.161019460062123
1.16,11.947052780680497
1.2,12.76184958988226
1.24,13.605855166447329
1.28,14.479609632667255
1.32,15.383761264714686
1.36,16.319086541741026
1.4,17.286508708742016
1.44,18.287128108432352
1.48,19.32224276973763
1.52,20.39339193394884
1.56,21.50238726902934
1.6,22.651370250141213
1.64,23.842866083286516
1.68,25.07985642450607
1.72,26.365878334142284
1.76,27.705112403971036
1.8,29.102577306300212
1.84,30.564237954324575
1.88,32.09732184879228
1.92,33.7105959137927
1.96,35.41471103410648
2,37.22285894950875
2.04,39.151528080493236
2.08,40
2.12,40
2.16,40
2.2,40
2.24,40
2.28,40
2.32,40
2.36,40
2.4,40
2.44,40
2.48,40
2.52,40
2.56,40
2.6,40
2.64,40
2.68,40
2.72,40
2.76,40
2.8,40
2.84,40
2.88,40
2.92,40
2.96,40
3,40
3.04,40
3.08,40
3.12,40
3.16,40
3.2,40
3.24,40
3.28,40
3.32,40
3.36,40
3.4,40
3.44,40
3.48,40
3.52,40
3.56,40
3.6,40
3.64,40
3.68,40
3.72,40
3.76,40
3.8,40
3.84,40
3.88,40
3.92,40
3.96,40
4,40
4.04,40
4.08,40
4.12,40
4.16,40
4.2,40
4.24,40
4.28,40
4.32,40
4.36,40
4.4,40
4.44,40
4.48,40
4.52,40
4.56,40
4.6,40
4.64,40
4.68,40
4.72,40
4.76,40
4.8,40
4.84,40
4.88,40
4.92,40
4.96,40
5,40
5.04,40
5.08,40
5.12,40
5.16,40
5.2,40
5.24,40
5.28,40
5.32,40
5.36,40
5.4,40
5.44,40
5.48,40
5.52,40
5.56,40
5.6,40
5.64,40
5.68,40
5.72,40
5.76,40
5.8,40
5.84,40
5.88,40
5.92,40
5.96,40
6,40
6.04,40
6.08,40
6.12,40
6.16,40
6.2,40
6.24,40
6.28,40
6.32,40
6.36,40
6.4,40
6.44,40
6.48,40
6.52,40
6.56,40
6.6,40
6.64,40
6.68,40
6.72,40
6.76,40
6.8,40
6.84,40
6.88,40
6.92,40
6.96,40
7,40
7.04,40
7.08,40
7.12,40
7.16,40
7.2,40
7.24,40
7.28,40
7.32,40
7.36,40
7.4,40
7.44,40
7.48,40
7.52,40
7.56,40
7.6,40
7.64,40
7.68,40
7.72,40
7.76,40
7.8,40
7.84,40
7.88,40
7.92,40
7.96,40
8,40
8.04,40
8.08,40
8.12,40
8.16,40
8.2,40
8.24,40
8.28,40
8.32,40
8.36,40
8.4,40
8.44,40
8.48,40
8.52,40
8.56,40
8.6,40
8.64,40
8.68,40
8.72,40
8.76,40
8.8,40
8.84,40
8.88,40
8.92,40
8.96,40
9,40
9.04,40
9.08,40
9.12,40
9.16,40
9.2,40
9.24,40
9.28,40
9.32,40
9.36,40
9.4,40
9.44,40
9.48,40
9.52,40
9.56,40
9.6,40
9.64,40
9.68,40
9.72,40
9.76,40
9.8,40
9.84,40
9.88,40
9.92,40
9.96,40
10,40
10.04,40
10.08,40
10.12,40
10.16,40
10.2,40
10.24,40
10.28,40
10.32,40
10.36,40
10.4,40
10.44,40
10.48,40
10.52,40
10.56,40
10.6,40
10.64,40
10.68,40
10.72,40
10.76,40
10.8,40
10.84,40
10.88,40
10.92,40
10.96,40
11,40
11.04,40
11.08,40
11.12,40
11.16,40
11.2,40
11.24,40
11.28,40
11.32,40
11.36,40
11.4,40
11.44,40
11.48,40
11.52,40
11.56,40
11.6,40
11.64,40
11.68,40
11.72,40
11.76,40
11.8,40
11.84,40
11.88,40
11.92,40
11.96,40
12,40
12.04,40
12.08,40
12.12,40
12.16,40
12.2,40
12.24,40
12.28,40
12.32,40
12.36,40
12.4,40
12.44,40
12.48,40
12.52,40
12.56,40
12.6,40
12.64,40
12.68,40
12.72,40
12.76,40
12.8,40
12.84,40
12.88,40
12.92,40
12.96,40
13,40
13.04,40
13.08,40
13.12,40
13.16,40
13.2,40
13.24,40
13.28,40
13.32,40
13.36,40
13.4,40
13.44,40
13.48,40
13.52,40
13.56,40
13.6,40
13.64,40
13.68,40
13.72,40
13.76,40
13.8,40
13.84,40
13.88,40
13.92,40
13.96,40
14,40
14.04,40
14.08,40
14.12,40
14.16,40
14.2,40
14.24,40
14.28,40
14.32,40
14.36,40
14.4,40
14.44,40
14.48,40
14.52,40
14.56,40
14.6,40
14.64,40
14.68,40
14.72,40
14.76,40
14.8,40
14.84,40
14.88,40
14.92,40
14.96,40
15,40
15.04,40
15.08,40
15.12,40
15.16,40
15.2,40
15.24,40
15.28,40
15.32,40
15.36,40
15.4,40
15.44,40
15.48,40
15.52,40
15.56,40
15.6,40
15.64,40
15.68,40
15.72,40
15.76,40
15.8,40
15.84,40
15.88,40
15.92,40
15.96,40
16,40
16.04,40
16.08,40
16.12,40
16.16,40
16.2,40
16.24,40
16.28,40
16.32,40
16.36,40
16.4,40
16.44,40
16.48,40
16.52,40
16.56,40
16.6,40
16.64,40
16.68,40
16.72,40
16.76,40
16.8,40
16.84,40
16.88,40
16.92,40
16.96,40
17,40
17.04,40
17.08,40
17.12,40
17.16,40
17.2,40
17.24,40
17.28,40
17.32,40
17.36,40
17.4,40
17.44,40
17.48,40
17.52,40
17.56,40
17.6,40
17.64,40
17.68,40
17.72,40
17.76,40
17.8,40
17.84,40
17.88,40
17.92,40
17.96,40
18,40
18.04,40
18.08,40
18.12,40
18.16,40
18.2,40
18.24,40
18.28,40
18.32,40
18.36,40
18.4,40
18.44,40
18.48,40
18.52,40
18.56,40
18.6,40
18.64,40
18.68,40
18.72,40
18.76,40
18.8,40
18.84,40
18.88,40
18.92,40
18.96,40
19,40
19.04,40
19.08,40
19.12,40
19.16,40
19.2,40
19.24,40
19.28,40
19.32,40
19.36,40
19.4,40
19.44,40
19.48,40
19.52,40
19.56,40
19.6,40
19.64,40
19.68,40
19.72,40
19.76,40
19.8,40
19.84,40
19.88,40
19.92,40
19.96,40
20,40
20.04,40
20.08,40
20.12,40
20.16,40
20.2,40
20.24,40
20.28,40
20.32,40
20.36,40
20.4,40
20.44,40
20.48,40
20.52,40
20.56,40
20.6,40
20.64,40
20.68,40
20.72,40
20.76,40
20.8,40
20.84,40
20.88,40
20.92,40
20.96,40
21,40
21.04,40
21.08,40
21.12,40
21.16,40
21.2,40
21.24,40
21.28,40
21.32,40
21.36,40
21.4,40
21.44,40
21.48,40
21.52,40
21.56,40
21.6,40
21.64,40
21.68,40
21.72,40
21.76,40
21.8,40
21.84,40
21.88,40
21.92,40
21.96,40
22,40
22.04,40
22.08,40
22.12,40
22.16,40
22.2,40
22.24,40
22.28,40
22.32,40
22.36,40
22.4,40
22.44,40
22.48,40
22.52,40
22.56,40
22.6,40
22.64,40
22.68,40
22.72,40
22.76,40
22.8,40
22.84,40
22.88,40
22.92,40
22.96,40
23,40
23.04,40
23.08,40
23.12,40
23.16,40
23.2,40
23.24,40
23.28,40
23.32,40
23.36,40
23.4,40
23.44,40
23.48,40
23.52,40
23.56,40
23.6,40
23.64,40
23.68,40
23.72,40
23.76,40
23.8,40
23.84,40
23.88,40
23.92,40
23.96,40
24,40
24.04,40
24.08,40
24.12,40
24.16,40
24.2,40
24.24,40
24.28,40
24.32,40
24.36,40
24.4,40
24.44,40
24.48,40
24.52,40
24.56,40
24.6,40
24.64,40
24.68,40
24.72,40
24.76,40
24.8,40
24.84,40
24.88,40
24.92,40
24.96,40
25,40
25.04,40
25.08,40
25.12,40
25.16,40
25.2,40
25.24,40
25.28,40
25.32,40
25.36,40
25.4,40
25.44,40
25.48,40
25.52,40
25.56,40
25.6,40
25.64,40
25.68,40
25.72,40
25.76,40
25.8,40
25.84,40
25.88,40
25.92,40
25.96,40
26,40
26.04,40
26.08,40
26.12,40
26.16,40
26.2,40
26.24,40
26.28,40
26.32,40
26.36,40
26.4,40
26.44,40
26.48,40
26.52,40
26.56,40
26.6,40
26.64,40
26.68,40
26.72,40
26.76,40
26.8,40
26.84,40
26.88,40
26.92,40
26.96,40
27,40
27.04,40
27.08,40
27.12,40
27.16,40
27.2,40
27.24,40
27.28,40
27.32,40
27.36,40
27.4,40
27.44,40
27.48,40
27.52,40
27.56,40
27.6,40
27.64,40
27.68,40
27.72,40
27.76,40
27.8,40
27.84,40
27.88,40
27.92,40
27.96,40
28,40
28.04,40
28.08,40
28.12,40
28.16,40
28.2,40
28.24,40
28.28,40
28.32,40
28.36,40
28.4,40
28.44,40
28.48,40
28.52,40
28.56,40
28.6,40
28.64,40
28.68,40
28.72,40
28.76,40
28.8,40
28.84,40
28.88,40
28.92,40
28.96,40
29,40
29.04,40
29.08,40
29.12,40
29.16,40
29.2,40
29.24,40
29.28,40
29.32,40
29.36,40
29.4,40
29.44,40
29.48,40
29.52,40
29.56,40
29.6,40
29.64,40
29.68,40
29.72,40
29.76,40
29.8,40
29.84,40
29.88,40
29.92,40
29.96,40
30,40
30.04,40
30.08,40
30.12,40
30.16,40
30.2,40
30.24,40
30.28,40
30.32,40
30.36,40
30.4,40
30.44,40
30.48,40
30.52,40
30.56,40
30.6,40
30.64,40
30.68,40
30.72,40
30.76,40
30.8,40
30.84,40
30.88,40
30.92,40
30.96,40
31,40
31.04,40
31.08,40
31.12,40
31.16,40
31.2,40
31.24,40
31.28,40
31.32,40
31.36,40
31.4,40
31.44,40
31.48,40
31.52,40
31.56,40
31.6,40
31.64,40
31.68,40
31.72,40
31.76,40
31.8,40
31.84,40
31.88,40
31.92,40
31.96,40
32,40
32.04,40
32.08,40
32.12,40
32.16,40
32.2,40
32.24,40
32.28,40
32.32,40
32.36,40
32.4,40
32.44,40
32.48,40
32.52,40
32.56,40
32.6,40
32.64,40
32.68,40
32.72,40
32.76,40
32.8,40
32.84,40
32.88,40
32.92,40
32.96,40
33,40
33.04,40
33.08,40
33.12,40
33.16,40
33.2,40
