"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
0,0.05628689430024837,80,40,14.734399914254238,0.3,0.00127,0.00127,0.18,81.32174986207653,0,0.022,0.16,1,16.264349972415307,15.05675,80,1000,67.86839001380625,4.0253332413843586,0.0013664855981145316,0,0.7,15,60,9.81,0,0,5,188.5,188.49555921538757,2,850,850,0.1,0.9734741761513508,0.026525198938992044,9999,0.7513262599469497
0.1,0.06582799820495254,80,40,14.734398552542167,0.3,0.00127,0.00127,0.18,88.13593294065323,0,0.022,0.16,1,16.299764158153003,15.064167846546546,80,1000,67.8683962860138,4.118654372021524,0.0015946442494036363,0,0.7,15,60,9.81,0,0,5.407190686042435,188.5,188.49555921538757,2,850,850,0.1,0.9713139624691963,0.028685361729668093,9999,0.7514342680864834
0.2,0.07636183910199554,80,40,14.734397152690567,0.3,0.00127,0.00127,0.18,95.13807413133904,0,0.022,0.16,1,16.336153481520828,15.072192636341851,80,1000,67.86840273389777,4.213202817263255,0.0018456997671495174,0,0.7,15,60,9.81,0,0,5.823774503524197,188.5,188.49555921538757,2,850,850,0.1,0.9691039166770525,0.030895355456361788,9999,0.7515447677728182
0.3,0.08794464836484939,80,40,14.734395713782247,0.3,0.00127,0.00127,0.18,102.33251899314834,0,0.022,0.16,1,16.373540384828384,15.080856686958485,80,1000,67.86840936168294,4.30894565956633,0.0021208077634963817,0,0.7,15,60,9.81,0,0,6.249871230535394,188.5,188.49555921538757,2,850,850,0.1,0.9668434033324155,0.03315581554660686,9999,0.7516577907773304
0.4,0.10063477008661734,80,40,14.734394234875912,0.3,0.00127,0.00127,0.18,109.7237188741144,0,0.022,0.16,1,16.41194785178587,15.090193504570724,80,1000,67.86841617370513,4.405847824050492,0.002421153996522544,0,0.7,15,60,9.81,0,0,6.685600019267352,188.5,188.49555921538757,2,850,850,0.1,0.9645317903132776,0.03546737410751911,9999,0.751773368705376
0.5,0.11449258693804698,80,40,14.734392715017854,0.3,0.00127,0.00127,0.18,117.31617194093535,0,0.022,0.16,1,16.451399100650708,15.100237723526241,80,1000,67.86842317435736,4.5038712570815544,0.002747951182172482,0,0.7,15,60,9.81,0,0,7.1310756746698285,188.5,188.49555921538757,2,850,850,0.1,0.9621684685604641,0.03783064018392482,9999,0.7518915320091963
0.6,0.12958050996979742,80,40,14.734391153242893,0.3,0.00127,0.00127,0.18,125.11441755396623,0,0.022,0.16,1,16.4919175546194,15.111025098013501,80,1000,67.86843036808548,4.602974855352992,0.0031024372972787433,0,0.7,15,60,9.81,0,0,7.586408138386648,188.5,188.49555921538757,2,850,850,0.1,0.9597528548154394,0.040246197020618824,9999,0.752012309851031
0.7,0.14596300206714968,80,40,14.734389548571386,0.3,0.00127,0.00127,0.18,133.12305063461628,0,0.022,0.16,1,16.533526916085343,15.12259251856303,80,1000,67.86843775940197,4.70311465840771,0.003485874628338152,0,0.7,15,60,9.81,0,0,8.051703142969567,188.5,188.49555921538757,2,850,850,0.1,0.9572843881495948,0.04271460553299505,9999,0.7521357302766498
0.8,0.16370657792365167,80,40,14.734387900008736,0.3,0.00127,0.00127,0.18,141.3467232575684,0,0.022,0.16,1,16.57625117449042,15.134978011505588,80,1000,67.8684453528882,4.8042438766161055,0.0038995482151411207,0,0.7,15,60,9.81,0,0,8.52706210648462,188.5,188.49555921538757,2,850,850,0.1,0.9547625305233794,0.04523640374792901,9999,0.7522618201873965
0.9,0.18287977319411453,80,40,14.734386206547246,0.3,0.00127,0.00127,0.18,149.79013462194925,0,0.022,0.16,1,16.62011455379008,15.148220717707604,80,1000,67.86845315318588,4.906312786941593,0.0043447635335489565,0,0.7,15,60,9.81,0,0,9.012581359602652,188.5,188.49555921538757,2,850,850,0.1,0.9521867708867121,0.047812102703462346,9999,0.7523906051351732
1,0.20355315336231472,80,40,14.734384467163727,0.3,0.00127,0.00127,0.18,158.45804217781844,0,0.022,0.16,1,16.66514156981387,15.162360899846169,80,1000,67.8684611650081,5.009268899892335,0.0048228450658497546,0,0.7,15,60,9.81,0,0,9.508352600186656,188.5,188.49555921538757,2,850,850,0.1,0.9495566227673206,0.05044218886040666,9999,0.7525221094430203
1.1,0.22579923572670715,80,40,14.734382680824089,0.3,0.00127,0.00127,0.18,167.35523787906106,0,0.022,0.16,1,16.71135690645002,15.17743989069668,80,1000,67.86846939311816,5.113056719177802,0.005335132823432016,0,0.7,15,60,9.81,0,0,10.014461351996353,188.5,188.49555921538757,2,850,850,0.1,0.9468716324475679,0.053127115925710094,9999,0.7526563557962855
1.2,0.24969251319034919,80,40,14.734380846478638,0.3,0.00127,0.00127,0.18,176.48657074144998,0,0.022,0.16,1,16.75878553236432,15.193500112148046,80,1000,67.86847784235124,5.217618067387585,0.005882981199305301,0,0.7,15,60,9.81,0,0,10.530988083869305,188.5,188.49555921538757,2,850,850,0.1,0.9441313730270117,0.05586731078975759,9999,0.752793365539488
1.3,0.2753093758539841,80,40,14.734378963065428,0.3,0.00127,0.00127,0.18,185.8569292219839,0,0.022,0.16,1,16.80745260899041,15.210585025111053,80,1000,67.86848651759898,5.322891946264523,0.006467755434310332,0,0.7,15,60,9.81,0,0,11.05800703686458,188.5,188.49555921538757,2,850,850,0.1,0.9413354506446013,0.05866316730432138,9999,0.7529331583652161
1.4,0.3027280877243666,80,40,14.734377029508558,0.3,0.00127,0.00127,0.18,195.47124881377633,0,0.022,0.16,1,16.857383529489667,15.22873911773922,80,1000,67.86849542381728,5.428814705834823,0.007090829337309177,0,0.7,15,60,9.81,0,0,11.595586496079083,188.5,188.49555921538757,2,850,850,0.1,0.9384835030366462,0.061515047724557466,9999,0.7530757523862279
1.5,0.33202869376830807,80,40,14.734375044721022,0.3,0.00127,0.00127,0.18,205.33449687847215,0,0.022,0.16,1,16.908603839478168,15.248007848005,80,1000,67.86850456601323,5.535319971577225,0.007753581406105401,0,0.7,15,60,9.81,0,0,12.143787791577306,188.5,188.49555921538757,2,850,850,0.1,0.9355752048370487,0.06442327740889818,9999,0.7532211638704449
1.6,0.36329300602940207,80,40,14.734373007601436,0.3,0.00127,0.00127,0.18,215.45168798742458,0,0.022,0.16,1,16.961139316187722,15.268437639457524,80,1000,67.86851394926013,5.6423389224339955,0.008457392742876177,0,0.7,15,60,9.81,0,0,12.702666016179547,188.5,188.49555921538757,2,850,850,0.1,0.9326102637693198,0.0673881486269472,9999,0.7533694074313474
1.7,0.3966044780255177,80,40,14.734370917037907,0.3,0.00127,0.00127,0.18,225.82786365620575,0,0.022,0.16,1,17.015015862704104,15.290075804096286,80,1000,67.86852357867973,5.749800195359391,0.009203642443586464,0,0.7,15,60,9.81,0,0,13.272268770034291,188.5,188.49555921538757,2,850,850,0.1,0.9295884273068284,0.07040991389938615,9999,0.7535204956949694
1.8,0.4320481741794556,80,40,14.734368771905011,0.3,0.00127,0.00127,0.18,236.46810628742386,0,0.022,0.16,1,17.07025957983635,15.312970528396807,80,1000,67.86853345945607,5.857630171465142,0.009993705147213362,0,0.7,15,60,9.81,0,0,13.852636814424521,188.5,188.49555921538757,2,850,850,0.1,0.9265094792042523,0.07348878946644308,9999,0.7536744394733222
1.9,0.4697106395861808,80,40,14.734366571066724,0.3,0.00127,0.00127,0.18,247.37752368755045,0,0.022,0.16,1,17.12689668517825,15.337170795064598,80,1000,67.8685435968221,5.965752967045503,0.010828946367386119,0,0.7,15,60,9.81,0,0,14.443803114760009,188.5,188.49555921538757,2,850,850,0.1,0.923373244574661,0.07662495021092842,9999,0.7538312475105465
2,0.5096798516366395,80,40,14.73436431337377,0.3,0.00127,0.00127,0.18,258.56126096416904,0,0.022,0.16,1,17.184953574322034,15.362726358514353,80,1000,67.86855399607173,6.074090719358937,0.011710719683401925,0,0.7,15,60,9.81,0,0,15.04579339396729,188.5,188.49555921538757,2,850,850,0.1,0.9201795869536906,0.07981853259399094,9999,0.7539909266296996
2.1,0.5520450598068403,80,40,14.734361997667156,0.3,0.00127,0.00127,0.18,270.02448203537733,0,0.022,0.16,1,17.244456724298153,15.389687649086211,80,1000,67.8685646625437,6.1825635840398085,0.012640361489526448,0,0.7,15,60,9.81,0,0,15.658625049921211,188.5,188.49555921538757,2,850,850,0.1,0.9169284140427488,0.08306962891204886,9999,0.7541534814456026
2.2,0.5968967301955209,80,40,14.73435962277517,0.3,0.00127,0.00127,0.18,281.772383256519,0,0.022,0.16,1,17.305432763739418,15.41810574509492,80,1000,67.86857560163536,6.291090062148328,0.013619188113133758,0,0.7,15,60,9.81,0,0,16.282307822253653,188.5,188.49555921538757,2,850,850,0.1,0.9136196741714833,0.08637829083423688,9999,0.7543189145417118
2.3,0.6443263894124196,80,40,14.734357187515677,0.3,0.00127,0.00127,0.18,293.810180944563,0,0.022,0.16,1,17.367908407532056,15.448032281147961,80,1000,67.86858681879202,6.3995870879469825,0.014648490773722527,0,0.7,15,60,9.81,0,0,16.91684306770897,188.5,188.49555921538757,2,850,850,0.1,0.9102533601421418,0.08974452555813778,9999,0.7544872262779069
