"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
0,0.05628689430024837,80,40,14.734399914254238,0.3,0.00127,0.00127,0.18,81.32174986207653,0,0.022,0.16,1,16.264349972415307,0.05675,80,1000,67.86839001380625,54.02533324138435,0.0013664855981145316,0,0.7,0,60,9.81,0,0.85,5,188.5,188.49555921538757,2,850,850,0.1,0.9734741761513508,0.026525198938992044,100,0.0013262599469496023
0.1,0.24645786849713583,80,40,14.734381090165732,0.3,0.00127,0.00127,0.18,175.27379124771105,0,0.022,0.16,1,16.752486461066788,0.1913333603507267,80,1000,67.86847671989676,55.20384366905354,0.00580895344075679,0,0.7,0,60,9.81,0,0.85,10.462553821789493,188.5,188.49555921538757,2,850,850,0.1,0.94449442806324,0.05550426430657556,100,0.002775213215328778
0.2,0.5789959368281825,80,40,14.734360561748142,0.3,0.00127,0.00127,0.18,277.12856086492593,0,0.022,0.16,1,17.2813301573741,0.40677831565556416,80,1000,67.86857127659133,56.24850613906179,0.013229177138009982,0,0.7,0,60,9.81,0,0.85,16.036298036159714,188.5,188.49555921538757,2,850,850,0.1,0.9149247966216776,0.08507319913082076,100,0.004253659956541038
0.3,1.0609543495944067,80,40,14.73433815662209,0.3,0.00127,0.00127,0.18,387.57845471213085,0,0.022,0.16,1,17.854385888514024,0.7069959857549587,80,1000,67.86867447796205,57.15796634253022,0.023463147116716227,0,0.7,0,60,9.81,0,0.85,21.70774492789839,188.5,188.49555921538757,2,850,850,0.1,0.8848368363782319,0.11516045054588005,100,0.0057580225272940025
0.4,1.6981593424617842,80,40,14.734313676799681,0.3,0.00127,0.00127,0.18,507.4042173163786,0,0.022,0.16,1,18.475597491016742,1.095205733047596,80,1000,67.86878723605413,57.93463919323049,0.036292294773817686,0,0.7,0,60,9.81,0,0.85,27.463480819123177,188.5,188.49555921538757,2,850,850,0.1,0.8543017091042364,0.14569485845688687,100,0.007284742922844344
0.5,2.4952163565568535,80,40,14.734286892597869,0.3,0.00127,0.00127,0.18,637.4948638007168,0,0.022,0.16,1,19.149446463649877,1.57394039721862,80,1000,67.86891060892636,58.585020221437524,0.05145012887912979,0,0.7,0,60,9.81,0,0.85,33.290511295500416,188.5,188.49555921538757,2,850,850,0.1,0.8233883523088178,0.17660748697878204,100,0.008830374348939102
0.6,3.455593595427517,80,40,14.734257534319202,0.3,0.00127,0.00127,0.18,778.8751422341886,0,0.022,0.16,1,19.881088214145603,2.1450955495271886,80,1000,67.86904583897686,59.11997554872805,0.06863047285906894,0,0.7,0,60,9.81,0,0.85,39.176685594101976,188.5,188.49555921538757,2,850,850,0.1,0.7921612277913875,0.20783387583077972,100,0.010391693791538988
0.7,4.581800499902886,80,40,14.734225280716329,0.3,0.00127,0.00127,0.18,932.7437675834066,0,0.022,0.16,1,20.676541963666097,2.810032718630601,80,1000,67.86919440608575,59.555030816784985,0.08749691709619276,0,0.7,0,60,9.81,0,0.85,45.11120714587927,188.5,188.49555921538757,2,850,850,0.1,0.7606776131296961,0.2393167487845054,100,0.01196583743922527
0.8,5.875642338098432,80,40,14.7341897437865,0.3,0.00127,0.00127,0.18,1100.5223483572267,0,0.022,0.16,1,21.542932931824673,3.569725206313321,80,1000,67.86935809766575,59.91069241837117,0.1076923875055212,0,0.7,0,60,9.81,0,0.85,51.08507517708793,188.5,188.49555921538757,2,850,850,0.1,0.7289852589115124,0.2710083563771243,100,0.013550417818856214
0.9,7.338571466710149,80,40,14.734150447562378,0.3,0.00127,0.00127,0.18,1283.9227662993433,0,0.022,0.16,1,22.488825507303584,4.4249587427651855,80,1000,67.86953910637178,60.212889215128,0.12884846120962828,0,0.7,0,60,9.81,0,0.85,57.09158825934996,188.5,188.49555921538757,2,850,850,0.1,0.6971197173185745,0.302873147264456,100,0.015143657363222802
1,8.972155850431223,80,40,14.734106797870517,0.3,0.00127,0.00127,0.18,1485.0418296168382,0,0.022,0.16,1,23.52469065481567,5.3765987648812015,80,1000,67.86974016942293,60.4936396331149,0.15059389657422448,0,0.7,0,60,9.81,0,0.85,63.126944001401334,188.5,188.49555921538757,2,850,850,0.1,0.6651011606630568,0.3348909496095562,100,0.01674454748047781
1.1,10.778671980392396,80,40,14.734058038869422,0.3,0.00127,0.00127,0.18,1706.4938770733245,0,0.022,0.16,1,24.663558955226115,6.425928178419541,80,1000,67.86996476883243,60.79210258935525,0.17256153410566152,0,0.7,0,60,9.81,0,0.85,69.1909014498382,188.5,188.49555921538757,2,850,850,0.1,0.6329308672424687,0.3670604851450302,100,0.01835302425725151
1.2,12.76184958988226,80,40,14.734003189094096,0.3,0.00127,0.00127,0.18,1951.6001593037631,0,0.022,0.16,1,25.921950261381273,7.575071284026698,80,1000,67.87021742605472,61.156263257848586,0.19439291482953638,0,0.7,0,60,9.81,0,0.85,75.28755126929136,188.5,188.49555921538757,2,850,850,0.1,0.600587135406926,0.3994034550095032,100,0.019970172750475162
1.3,14.927840428466022,80,40,14.733940944046518,0.3,0.00127,0.00127,0.18,2224.668376538577,0,0.022,0.16,1,27.321241385289518,8.827545301858157,80,1000,67.87050415076259,61.645653611437865,0.21574018099572376,0,0.7,0,60,9.81,0,0.85,81.42632851728317,188.5,188.49555921538757,2,850,850,0.1,0.5680199106216607,0.4319699125585314,100,0.02159849562792657
1.4,17.286508708742016,80,40,14.73386952311388,0.3,0.00127,0.00127,0.18,2531.415475163738,0,0.022,0.16,1,28.889726143508685,10.188995120440328,80,1000,67.8708331461224,62.335770076894526,0.23626443246959603,0,0.7,0,60,9.81,0,0.85,87.62338080288549,188.5,188.49555921538757,2,850,850,0.1,0.5351435271599094,0.4648455215007188,100,0.023242276075035942
1.5,19.85320744006748,80,40,14.733786419806146,0.3,0.00127,0.00127,0.18,2879.626101497083,0,0.022,0.16,1,30.665807150911515,11.668204854905948,80,1000,67.87121595951281,63.32534098668523,0.2556293779987694,0,0.7,0,60,9.81,0,0.85,93.90348303326783,188.5,188.49555921538757,2,850,850,0.1,0.5018265500569833,0.49816171370433865,100,0.024908085685216935
1.6,22.651370250141213,80,40,14.73368797379253,0.3,0.00127,0.00127,0.18,3280.2208837506587,0,0.022,0.16,1,32.70314264933025,13.278574268263423,80,1000,67.87166945429716,64.74856127022277,0.27348875440259074,0,0.7,0,60,9.81,0,0.85,100.30292559109257,188.5,188.49555921538757,2,850,850,0.1,0.4678764528533016,0.5321110110933293,100,0.026605550554666464
1.7,25.716491014509568,80,40,14.733568594979,0.3,0.00127,0.00127,0.18,3749.066136470085,0,0.022,0.16,1,35.07929737936947,15.040386193607892,80,1000,67.87221938483977,66.79637061920526,0.2894644979679196,0,0.7,0,60,9.81,0,0.85,106.8740372968517,188.5,188.49555921538757,2,850,850,0.1,0.4330156225339489,0.5669710201424493,100,0.028348551007122465
1.8,29.102577306300212,80,40,14.733419254970332,0.3,0.00127,0.00127,0.18,4310.198879591697,0,0.022,0.16,1,37.91099848556904,16.984483687329842,80,1000,67.87290734719635,69.755049327464,0.3031103121087444,0,0.7,0,60,9.81,0,0.85,113.69257080454871,188.5,188.49555921538757,2,850,850,0.1,0.39684217878769223,0.6031436116952186,100,0.03015718058476093
1.9,32.8933222737002,80,40,14.73322427902979,0.3,0.00127,0.00127,0.18,5001.935869947945,0,0.022,0.16,1,41.38261096265091,19.158635665119775,80,1000,67.87380556090007,74.07991765843711,0.3138515912539704,0,0.7,0,60,9.81,0,0.85,120.87047563195922,188.5,188.49555921538757,2,850,850,0.1,0.3587622109768402,0.6412226823976617,100,0.03206113411988309
