"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
0,0.05628689430024837,80,40,14.734399914254238,0.3,0.00127,0.00127,0.18,81.32174986207653,0,0.022,0.16,1,16.264349972415307,0.05675,80,1000,67.86839001380625,54.02533324138435,0.0013664855981145316,0,0.7,0,60,9.81,0,0,5,188.5,188.49555921538757,2,850,850,0.1,0.9734741761513508,0.026525198938992044,9999,0.0013262599469496023
0.04,0.11577239610659618,80,40,14.734392579027984,0.3,0.00127,0.00127,0.18,117.99534091550859,0,0.022,0.16,1,16.454928040760954,0.10115835702977913,80,1000,67.86842380074341,54.51256561243726,0.002778072129369577,0,0.7,0,60,9.81,0,0,7.170820840007266,188.5,188.49555921538757,2,850,850,0.1,0.9619576139095489,0.038041489867412556,9999,0.001902074493370628
0.08,0.19728116880290736,80,40,14.734384986208775,0.3,0.00127,0.00127,0.18,155.8719474333188,0,0.022,0.16,1,16.651707909745827,0.1580848621298993,80,1000,67.86845877422024,54.97874349205309,0.004678011995107374,0,0.7,0,60,9.81,0,0,9.360718328604051,188.5,188.49555921538757,2,850,850,0.1,0.9503398469037254,0.04965898317561831,9999,0.0024829491587809154
0.12,0.3013330222808115,80,40,14.734377126016522,0.3,0.00127,0.00127,0.18,194.99150995041495,0,0.022,0.16,1,16.85489213541099,0.2278184524807434,80,1000,67.8684949792888,55.42357894310082,0.0070591958801055335,0,0.7,0,60,9.81,0,0,11.568837604172558,188.5,188.49555921538757,2,850,850,0.1,0.938625410315618,0.061373143788713835,9999,0.0030686571894356918
0.16,0.42841808489123656,80,40,14.734368988149196,0.3,0.00127,0.00127,0.18,235.3958076256129,0,0.022,0.16,1,17.064692429149876,0.31063129764787084,80,1000,67.86853246340557,55.84687043834002,0.009912970494421556,0,0.7,0,60,9.81,0,0,13.79431880199084,188.5,188.49555921538757,2,850,850,0.1,0.9268188658692562,0.07317941009013708,9999,0.003658970504506854
0.2,0.5789959368281825,80,40,14.734360561748142,0.3,0.00127,0.00127,0.18,277.12856086492593,0,0.022,0.16,1,17.2813301573741,0.40677831565556416,80,1000,67.86857127659133,56.24850613906179,0.013229177138009982,0,0.7,0,60,9.81,0,0,16.036298036159714,188.5,188.49555921538757,2,850,850,0.1,0.9149247966216776,0.08507319913082076,9999,0.004253659956541038
0.24,0.7534948476140074,80,40,14.734351835359815,0.3,0.00127,0.00127,0.18,320.23554467465397,0,0.022,0.16,1,17.505036893764395,0.5164967487881867,80,1000,67.86861147160735,56.6284671499207,0.016996196347212212,0,0.7,0,60,9.81,0,0,18.29390858289065,188.5,188.49555921538757,2,850,850,0.1,0.90294780068539,0.0970499129065817,9999,0.004852495645329085
0.28,0.9523116048575374,80,40,14.734342796872946,0.3,0.00127,0.00127,0.18,364.7648149362376,0,0.022,0.16,1,17.736055553833566,0.6400060993333491,80,1000,67.86865310424493,56.98683151500073,0.021201008458436924,0,0.7,0,60,9.81,0,0,20.566287347774765,188.5,188.49555921538757,2,850,850,0.1,0.8908924569184447,0.10910497266724013,9999,0.005455248633362007
0.32,1.175811037786882,80,40,14.734333433478026,0.3,0.00127,0.00127,0.18,410.76681465211294,0,0.022,0.16,1,17.974640902241596,0.7775078574108216,80,1000,67.868696233512,57.32377681610259,0.025829249834143628,0,0.7,0,60,9.81,0,0,22.852574184160012,188.5,188.49555921538757,2,850,850,0.1,0.8787633285405566,0.12123381530058362,9999,0.006061690765029181
0.36,1.42432611720047,80,40,14.734323731601815,0.3,0.00127,0.00127,0.18,458.29459301083733,0,0.022,0.16,1,18.221060640908053,0.9291855796262988,80,1000,67.86874092193486,57.63958353760585,0.030865283289710645,0,0.7,0,60,9.81,0,0,25.15191634793868,188.5,188.49555921538757,2,850,850,0.1,0.8665649394997236,0.13343191696519194,9999,0.006671595848259597
0.4,1.6981593424617842,80,40,14.734313676799681,0.3,0.00127,0.00127,0.18,507.4042173163786,0,0.022,0.16,1,18.475597491016742,1.095205733047596,80,1000,67.86878723605413,57.93463919323049,0.036292294773817686,0,0.7,0,60,9.81,0,0,27.463480819123177,188.5,188.49555921538757,2,850,850,0.1,0.8543017091042364,0.14569485845688687,9999,0.007284742922844344
0.44,1.9975817054152198,80,40,14.734303253742938,0.3,0.00127,0.00127,0.18,558.1547059708179,0,0.022,0.16,1,18.738548785751973,1.2757170517749665,80,1000,67.86883524648314,58.2094391132567,0.04209234111483057,0,0.7,0,60,9.81,0,0,29.786442501631498,188.5,188.49555921538757,2,850,850,0.1,0.841978014624761,0.15801826260812465,9999,0.007900913130406233
0.48,2.3228349427213817,80,40,14.734292446080502,0.3,0.00127,0.00127,0.18,610.6085602313955,0,0.022,0.16,1,19.01022916018998,1.4708518862058957,80,1000,67.86888502854522,58.46459091328028,0.04824646313771653,0,0.7,0,60,9.81,0,0,32.11999997927923,188.5,188.49555921538757,2,850,850,0.1,0.8295981077062046,0.17039787787416036,9999,0.008519893893708018
0.52,2.6741334374583765,80,40,14.734281236323428,0.3,0.00127,0.00127,0.18,664.8321625098387,0,0.022,0.16,1,19.290972539568884,1.6807273098445499,80,1000,67.86893666280562,58.70081743241445,0.05473478729519038,0,0.7,0,60,9.81,0,0,34.46338234872094,188.5,188.49555921538757,2,850,850,0.1,0.8171660781178364,0.18282961458207395,9999,0.009141480729103698
0.56,3.051664626508982,80,40,14.734269605774168,0.3,0.00127,0.00127,0.18,720.8959365327624,0,0.022,0.16,1,19.58113288502777,1.9054453237402764,80,1000,67.86899023539742,58.91895853762498,0.06153659643575549,0,0.7,0,60,9.81,0,0,36.81584414781117,188.5,188.49555921538757,2,850,850,0.1,0.8046858806591676,0.19530951802552346,9999,0.009765475901276174
